1,silver1@deepmine.com,Uris1,OakFoot1,StoneHead1,city 17
2,silver2@deepmine.com,Uris2,OakFoot2,StoneHead2,city 17
3,silver3@deepmine.com,Uris3,OakFoot3,StoneHead3,city 17
4,silver4@deepmine.com,Uris4,OakFoot4,StoneHead4,city 17
5,silver5@deepmine.com,Uris5,OakFoot5,StoneHead5,city 17
6,silver6@deepmine.com,Uris6,OakFoot6,StoneHead6,city 17
7,silver7@deepmine.com,Uris7,OakFoot7,StoneHead7,city 17
8,silver8@deepmine.com,Uris8,OakFoot8,StoneHead8,city 17
9,silver9@deepmine.com,Uris9,OakFoot9,StoneHead9,city 17
10,silver10@deepmine.com,Uris10,OakFoot10,StoneHead10,city 17
11,silver11@deepmine.com,Uris11,OakFoot11,StoneHead11,city 18
12,silver12@deepmine.com,Uris12,OakFoot12,StoneHead12,city 18
13,silver13@deepmine.com,Uris13,OakFoot13,StoneHead13,city 18
14,silver14@deepmine.com,Uris14,OakFoot14,StoneHead14,city 18
15,silver15@deepmine.com,Uris15,OakFoot15,StoneHead15,city 18
16,silver16@deepmine.com,Uris16,OakFoot16,StoneHead16,city 18
17,silver17@deepmine.com,Uris17,OakFoot17,StoneHead17,city 18
18,silver18@deepmine.com,Uris18,OakFoot18,StoneHead18,city 18
19,silver19@deepmine.com,Uris19,OakFoot19,StoneHead19,city 18
20,silver20@deepmine.com,Uris20,OakFoot20,StoneHead20,city 18
21,silver21@deepmine.com,Uris21,OakFoot21,StoneHead21,city 19
22,silver22@deepmine.com,Uris22,OakFoot22,StoneHead22,city 19
23,silver23@deepmine.com,Uris23,OakFoot23,StoneHead23,city 19
24,silver24@deepmine.com,Uris24,OakFoot24,StoneHead24,city 19
25,silver25@deepmine.com,Uris25,OakFoot25,StoneHead25,city 19
26,silver26@deepmine.com,Uris26,OakFoot26,StoneHead26,city 19
27,silver27@deepmine.com,Uris27,OakFoot27,StoneHead27,city 19
28,silver28@deepmine.com,Uris28,OakFoot28,StoneHead28,city 19
29,silver29@deepmine.com,Uris29,OakFoot29,StoneHead29,city 19
30,silver30@deepmine.com,Uris30,OakFoot30,StoneHead30,city 19
